"","min_2","max_other","macro_score","micro_T8","micro_T4","micro_Myeloid"
"SAMD11",0.0451185403692778,1.7,-1.65488145963072,0.03,0.12,0.1
"NOC2L",1.67852977161501,2.74,-1.06147022838499,0.22,0.55,2.07
"KLHL17",0.169677814029364,0.85,-0.680322185970636,0.25,0.48,0.25
"PLEKHN1",0.197744698205546,0.43,-0.232255301794454,0.45,1.26,0.32
"PERM1",0,0.09,-0.09,0,0,0.01
"HES4",0.339635092319458,1.47,-1.13036490768054,0.38,0.44,0.96
"ISG15",6.46740576860046,5.60028253192067,0.867123236679785,2.38,2.67,4.34
"AGRN",1.0522517207473,3.05,-1.9977482792527,0.79,1.31,1.37
"RNF223",0.0103833605220228,0.08,-0.0696166394779772,0.06,0.1,0.02
"C1orf159",0.399274061990212,0.73,-0.330725938009788,0.58,0.49,1.46
"TTLL10",0.0597290505845078,0.45,-0.390270949415492,0.47,0.13,0.66
"TNFRSF18",1.40882137030995,3.12,-1.71117862969005,1.94,5.44,2.7
"TNFRSF4",0.975234502446982,4.03,-3.05476549755302,0.68,6.99,3.26
"SDF4",2.84902120717781,3.73,-0.880978792822186,0.73,1.53,3.13
"B3GALT6",0.393886703812957,1.26,-0.866113296187043,0.25,0.61,0.85
"UBE2J2",2.07374388254486,3.11,-1.03625611745514,0.0899999999999999,0.95,3.04
"SCNN1D",0.0825980552824211,0.7,-0.617401944717579,0.14,0.22,0.25
"ACAP3",0.750566884176183,1.29,-0.539433115823817,0.47,1.08,1.08
"PUSL1",0.998329934747145,1.49,-0.491670065252855,0.34,1.56,1.03
"CPTP",0.917954730831974,1.8,-0.882045269168026,0.21,2.76,0.69
"TAS1R3",0.0237075275865836,0.672936701983157,-0.649229174396573,0.07,0.08,0.36
"DVL1",0.463207691467278,1.39,-0.926792308532721,0.42,0.7,1.1
"MXRA8",0.491160277324633,5.41,-4.91883972267537,1.09,0.78,1.27
"AURKAIP1",4.29991150442478,4.58,-0.280088495575221,0.31,0.73,1.82
"CCNL2",1.66854812398042,3.4,-1.73145187601958,0.13,0.47,1.96
"MRPL20",4.06036908646003,4.56,-0.499630913539967,0.12,1.86,1.93
"ANKRD65",0.12763247022834,1.36,-1.23236752977166,0.39,0.27,2.26
"TMEM88B",0,0,0,0,0,0
"VWA1",0.346892275756583,3.8,-3.45310772424342,0.55,0.58,0.63
"ATAD3C",0.0208544045676998,0.612151589242054,-0.591297184674354,0.24,0.31,0.07
"ATAD3B",0.752793637846656,1.37100244498778,-0.618208807141119,0.33,1.43,1.13
"ATAD3A",0.866572185970636,1.49,-0.623427814029364,0.67,0.79,1.04
"TMEM240",0.00428220255653884,0.12,-0.115717797443461,0.01,0,0.02
"SSU72",3.23902120717781,4.09,-0.850978792822186,0.54,0.55,1.25
"MIB2",0.734859298531811,3.16,-2.42514070146819,0.35,0.7,1.32
"MMP23B",0,0.84,-0.84,0.04,0.09,0
"CDK11B",1.10289355628059,2.28,-1.17710644371941,0.52,2.1,1.51
"SLC35E2B",0.480460848287113,1.54178212442271,-1.0613212761356,0.13,1.69,1.05
"CDK11A",1.01291394779772,2.2,-1.18708605220228,0.16,2.21,1.76
"SLC35E2",0.0997899673735726,0.48,-0.380210032626427,0.24,0.58,0.57
"NADK",0.494495247459849,0.94,-0.445504752540151,0.34,0.46,2.01
"GNB1",2.48116300666448,3.75,-1.26883699333552,0.31,0.9,3.26
"CALML6",0.00698131760078663,0.14,-0.133018682399213,0.06,0,0.03
"TMEM52",0.0409543230016313,0.267783211083945,-0.226828888082313,0.13,0.14,0.09
"CFAP74",0.0358890701468189,0.223710948111926,-0.187821877965107,0,0.34,0.16
"GABRD",0,1.94,-1.94,0,0,0.06
"PRKCZ",0.459537112561175,1.00791904373811,-0.54838193117694,0.65,1.25,0.79
"SKI",1.19400087403037,2.32,-1.12599912596963,0.33,1.41,1.48
"MORN1",0.0888295269168026,0.678478674273295,-0.589649147356493,0.44,0.42,0.16
"RER1",3.92015896427401,4.33,-0.409841035725992,0.18,0.61,4.08
"PEX10",0.968048180924287,1.54,-0.571951819075713,0.33,0.43,4.49
"PLCH2",0.0563417618270799,0.93,-0.87365823817292,0.61,0.68,0.62
"PANK4",0.472487765089723,1.19,-0.717512234910277,0.15,1.36,1.03
"HES5",0,0.244925292040206,-0.244925292040206,0.05,0,0
"TNFRSF14",3.28959420880914,4.14,-0.850405791190864,0.34,2.87,1.97
"FAM213B",0.748738118649623,1.18,-0.431261881350377,0.37,1.32,0.99
"MMEL1",0.216719654758003,0.82,-0.603280345241997,0.16,0.6,0.81
"TTC34",0.0496227569331158,0.11,-0.0603772430668842,0.14,0.27,0.59
"PRDM16",0.00448486834917513,0.12,-0.115515131650825,0.02,0,0.02
"ARHGEF16",0.153050912269201,0.546473784297745,-0.393422872028544,0.33,0.22,0.37
"MEGF6",0.338968097891402,1.4,-1.0610319021086,0.33,0.53,0.55
"TPRG1L",0.766663947797716,1.54,-0.773336052202284,0.51,1.23,1.97
"WRAP73",1.11688825448613,2.02,-0.903111745513866,0.44,1.39,1.31
"TP73",0.0319066068515498,0.531331160010867,-0.499424553159317,0.63,0.36,0.09
"SMIM1",0.404240686113842,0.937671828307525,-0.533431142193683,0.21,0.63,4.82
"LRRC47",0.743786704730832,1.82,-1.07621329526917,0.32,0.61,2.03
"CEP104",0.969416802610114,1.83,-0.860583197389886,0.24,1.67,1.18
"DFFB",0.232995513866232,0.65,-0.417004486133768,0.39,1.54,0.34
"C1orf174",1.60019575856444,2.55,-0.949804241435563,0.15,2.34,2.19
"AJAP1",0,0.19,-0.19,0,0,0
"NPHP4",0.18436687424888,0.56,-0.37563312575112,0.23,0.33,0.32
"KCNAB2",2.21405179445351,2.95,-0.735948205546493,0.2,1.81,2.47
"CHD5",0,0.16,-0.16,0.1,0,0
"RPL22",4.86585848287113,5.37922575387123,-0.513367271000105,1.3,1.23,1.72
"RNF207",0.190116231647635,1.18,-0.989883768352365,0.61,1.54,1.09
"ICMT",1.01201264274062,1.83,-0.81798735725938,0.96,1.54,0.93
"GPR153",0.0928444225936851,1.12,-1.02715557740632,0.37,0.17,0.37
"ACOT7",1.70760734185513,2.21,-0.502392658144871,1.82,1.36,5.76
"HES2",0.0742073637058888,0.17,-0.0957926362941112,0.1,0.15,0.3
"ESPN",0.108654159869494,0.45,-0.341345840130506,0.16,0.25,0.24
"TNFRSF25",0.240585236541599,1.36,-1.1194147634584,0.78,3.55,0.33
"PLEKHG5",0.0289110929853181,1.72,-1.69108890701468,0.2,0.38,0.12
"NOL9",0.684932707993475,1.78,-1.09506729200653,0.63,1.24,0.79
"TAS1R1",0,0.02,-0.02,0,0,0
"ZBTB48",1.00820554649266,1.62,-0.611794453507341,0.32,0.74,2.24
"KLHL21",0.547903752039152,1.23,-0.682096247960848,0.32,0.98,0.9
"PHF13",0.400036704730832,0.95,-0.549963295269168,0.48,0.86,1.52
"THAP3",1.20799551386623,1.71,-0.502004486133768,0.12,0.61,1.85
"DNAJC11",0.865250737463127,1.49626188535724,-0.631011147894113,0.65,0.96,1.08
"CAMTA1",3.02237299246149,4.6,-1.57762700753851,0.19,1.12,3.73
"VAMP3",1.83773025237627,3.85,-2.01226974762373,0.61,2.43,4.24
"PER3",0.287693106085436,1.21,-0.922306893914564,0.22,0.38,0.73
"UTS2",0.359820554649266,0.57,-0.210179445350734,0.14,1.26,3.96
"TNFRSF9",0.461688417618271,0.59,-0.128311582381729,3.16,4.35,2.81
"PARK7",4.87805872756933,5.53,-0.651941272430669,0.68,1.65,1.14
"ERRFI1",1.64468371025893,4.18,-2.53531628974107,2.1,1.96,3.66
"SLC45A1",0.103752039151713,0.75,-0.646247960848287,0.32,0.32,0.2
"RERE",1.28108482871126,2.61,-1.32891517128874,1.03,1.6,1.8
"ENO1",6.06172675625478,6.23,-0.168273243745221,0.82,2.08,1.33
"CA6",0,0.0224395544688943,-0.0224395544688943,0.26,1.18,0
"SLC2A7",0,0,0,0,0,0
"SLC2A5",0.0460521140609636,0.73,-0.683947885939036,0.07,0.06,2.23
"GPR157",0.197189992352234,0.69,-0.492810007647766,0.17,0.41,3.93
"H6PD",0.950291598694943,2.09,-1.13970840130506,0.42,1.21,2.57
"SPSB1",0.508195350734095,3.16,-2.65180464926591,0.75,1.69,1.39
"SLC25A33",0.849718125204851,1.65,-0.800281874795149,0.36,1.23,1.27
"TMEM201",0.155083605220228,0.79,-0.634916394779772,0.36,0.54,0.25
"PIK3CD",0.69838295269168,2.41,-1.71161704730832,0.45,0.88,0.79
"CLSTN1",1.13209420880914,2.64,-1.50790579119086,0.47,2.07,1.41
"CTNNBIP1",1.44266109298532,2.16,-0.717338907014682,0.42,1.39,2.13
"LZIC",1.92894779771615,2.33,-0.40105220228385,0.47,2.24,2.68
"NMNAT1",0.48779361957828,1.03,-0.54220638042172,0.29,0.77,1.13
"RBP7",0.151913580246914,5,-4.84808641975309,0.26,0.28,2.72
"UBE4B",0.951574225122349,1.68,-0.728425774877651,0.57,0.63,1.78
"KIF1B",0.712114060963618,2.25,-1.53788593903638,0.36,0.84,1.38
"PGD",1.80251229105211,2.41,-0.607487708947886,0.45,2.11,1.78
"APITD1-CORT",0.0290742251223491,0.03,-0.000925774877650901,0.1,0.04,0.04
"CORT",0,0.00657973376799783,-0.00657973376799783,0.02,0.02,0
"DFFA",1.46551590538336,2.48,-1.01448409461664,0.73,0.61,1.95
"PEX14",0.925911500815661,1.44,-0.514088499184339,1.16,0.67,2.64
"CASZ1",0.23076264274062,1.73,-1.49923735725938,0.38,0.37,1.89
"C1orf127",0.00896973669835027,0.03,-0.0210302633016497,0.04,0,0.06
"MASP2",0,0.0296088019559902,-0.0296088019559902,0,0,0.02
"SRM",0.962821479296405,1.65,-0.687178520703594,0.44,1.11,1.26
"EXOSC10",1.22190864600326,2.09,-0.868091353996737,0.57,1.88,1.48
"MTOR",0.490866639477977,1.35,-0.859133360522023,0.17,1.2,0.77
"ANGPTL7",0,0,0,0,0,0
"UBIAD1",0.634061990212072,1.59,-0.955938009787928,0.89,0.43,1.15
"FBXO2",0.407308319738989,1.8,-1.39269168026101,0.71,1.03,0.98
"FBXO44",0.513682707993475,2.25,-1.73631729200653,0.25,1.22,1.72
"FBXO6",1.93330929749809,2.4,-0.466690702501912,1.44,1.62,1.98
"MAD2L2",2.17453099510604,3.02,-0.845469004893965,1.18,1.09,2.93
"DRAXIN",0.0547145187601958,0.44,-0.385285481239804,1.4,0.16,0.12
"AGTRAP",2.56256637168142,3.53,-0.967433628318584,0.78,1.25,3.59
"C1orf167",0.0824021207177814,0.61,-0.527597879282219,0.5,0.26,0.15
"MTHFR",0.847976073418551,1.49,-0.642023926581449,0.33,0.96,1.65
"CLCN6",0.283049819731236,1.03,-0.746950180268764,0.39,0.37,2.2
"NPPA",0,0,0,0,0.15,0
"NPPB",0,0,0,0,0,0
"KIAA2013",1.43532229869988,1.81,-0.37467770130012,0.27,2.23,1.81
"PLOD1",0.444736152081285,3.38,-2.93526384791872,0.36,0.48,1.99
"MFN2",0.984847063621534,1.52,-0.535152936378467,0.41,1.41,1.61
"MIIP",2.39168960996395,2.17027438196142,0.221415228002523,0.9,0.92,1.99
"TNFRSF8",0.244354856331258,0.51,-0.265645143668742,0.25,1.58,0.47
"TNFRSF1B",3.01404567699837,4.16,-1.14595432300163,1.07,5.62,4.57
"VPS13D",0.804926590538336,1.79,-0.985073409461664,0.54,1.53,1.08
"DHRS3",1.37362886485305,3.5,-2.12637113514695,1.89,1.59,3.26
"AADACL4",0,0.09,-0.09,0,0,0
"AADACL3",0,0,0,0,0,0
"C1orf158",0,0,0,0.02,0.11,0
"HNRNPCL1",0.00224243417458757,0,0.00224243417458757,0.01,0,0.02
"HNRNPCL3",0,0.01,-0.01,0,0,0
"HNRNPCL2",0,0,0,0.05,0.08,0
"HNRNPCL4",0,0,0,0,0,0
"LRRC38",0,0.04,-0.04,0,0,0
"PDPN",0.110952693106085,4.13,-4.01904730689391,0.27,0.21,1.51
"PRDM2",1.67721859706362,3.06,-1.38278140293638,0.59,1.66,2.96
"KAZN",0.0264702283849918,0.8,-0.773529771615008,0.05,0.05,0.06
"TMEM51",0.11815033322408,1.33,-1.21184966677592,0.15,0.27,3.2
"FHAD1",0.0189877635747842,0.15,-0.131012236425216,0.05,0.14,1.09
"EFHD2",2.62226537747187,5.08,-2.45773462252813,2.09,3.26,3.3
"CTRC",0,0.0440260798696007,-0.0440260798696007,0.03,0.04,0
"CELA2A",0,0,0,0,0.02,0
"CELA2B",0,0,0,0,0,0.12
"CASP9",0.677092169657422,1.01,-0.332907830342578,0.38,1.07,1.74
"DNAJC16",0.672112561174551,1.81,-1.13788743882545,0.36,1.18,0.91
"AGMAT",0.0531076672104405,0.644246128769356,-0.591138461558916,0.46,1.17,0.29
"DDI2",1.42514681892333,1.57,-0.144853181076672,0.69,1.86,1.78
"PLEKHM2",0.770282421064132,1.63,-0.859717578935868,0.46,1.19,1.78
"SLC25A34",0.0158412542335846,0.27,-0.254158745766415,0.01,0.08,0.25
"TMEM82",0,0.371754957891877,-0.371754957891877,0,0.05,0
"FBLIM1",0.263099530208675,3.52,-3.25690046979133,0.08,0.56,0.45
"UQCRHL",1.10554244509997,1.48629448519424,-0.380752040094273,0.79,1.27,2.02
"SPEN",1.54497960848287,2.31,-0.765020391517129,0.97,0.9,2.62
"ZBTB17",1.05449225122349,1.71,-0.655507748776509,0.78,1.62,1.72
"C1orf64",0,0.39,-0.39,0.02,0.06,0
"HSPB7",0,0.96,-0.96,0,0,0
"CLCNKA",0,0.09,-0.09,0,0,0
"CLCNKB",0,0.01,-0.01,0,0,0
"FAM131C",0,0.03,-0.03,0,0,0
"EPHA2",0.0979826286463455,1.63,-1.53201737135365,0.22,0.54,0.42
"ARHGEF19",0.371404975530179,1.3,-0.928595024469821,0.29,1.04,0.83
"RSG1",0.143849918433931,0.5,-0.356150081566069,0.48,0.26,1.38
"FBXO42",1.00369902120718,1.98,-0.976300978792822,0.65,0.66,1.58
"SZRD1",2.58511623164763,2.88,-0.294883768352365,0.37,0.5,3.04
"SPATA21",0.00368270799347471,0.119141537625645,-0.11545882963217,0.33,0.46,0.01
"NECAP2",3.19605831973899,3.51,-0.313941680261011,0.31,2.2,2.46
"NBPF1",0.174726865508576,0.52,-0.345273134491424,0.14,0.26,1.17
"CROCC",0.222777324632953,1.06,-0.837222675367047,0.16,1.33,0.6
"MFAP2",0.0176936523544193,0.49,-0.472306347645581,0.14,0,0.05
"ATP13A2",0.786549755301794,1.74,-0.953450244698205,0.1,1.09,1.31
"SDHB",3.15831967660876,3.41815267590329,-0.259832999294525,0.15,0.36,2.2
"PADI2",0.0271512072544521,0.04,-0.0128487927455479,0.12,0.19,0.92
"PADI1",0,0,0,0,0,0.03
"PADI3",0,0,0,0,0.05,0
"PADI4",0.350401507702393,0.4,-0.0495984922976073,0.63,0.46,2.16
"PADI6",0,0,0,0,0,0.01
"RCC2",1.33878127389927,1.62,-0.281218726100732,0.61,1.52,1.74
"ARHGEF10L",0.119622528132853,0.72,-0.600377471867147,0.09,1.55,1.36
"ACTL8",0,0,0,0.03,0,0
"IGSF21",0.00448486834917513,0.03,-0.0255151316508249,0.02,0,0.31
"KLHDC7A",0.0139967373572594,0,0.0139967373572594,0.06,0.03,0.16
"PAX7",0,0,0,0,0,0
"ALDH4A1",0.0948661640992025,0.55,-0.455133835900798,0.16,0.34,0.59
"IFFO2",0.191523246329527,1.06,-0.868476753670473,0.43,0.84,1.3
"UBR4",1.62562711679231,2.55,-0.924372883207691,0.24,0.37,2.09
"EMC1",0.967028955954323,1.74,-0.772971044045677,0.82,1.31,1.07
"MRTO4",1.58139885807504,2.31,-0.728601141924959,0.31,1.04,1.74
"AKR7A3",0.0269758549109582,0.148804672643303,-0.121828817732345,0.05,0.04,0.07
"AKR7A2",2.50951060358891,3.69,-1.18048939641109,0.0999999999999996,0.67,3.71
"PQLC2",0.612307440183546,1.28,-0.667692559816454,0.4,0.73,1.93
"CAPZB",5.17295473083197,5.83,-0.657045269168026,0.350000000000001,2.18,1.4
"MINOS1",4.31717469682071,4.88,-0.562825303179285,0.28,2.03,1.26
"NBL1",0.57856647634584,5.79,-5.21143352365416,1.48,1.39,1.36
"TMCO4",0.561413132137031,1.10243140450964,-0.541018272372613,0.92,2.65,0.71
"RNF186",0,0.03559902200489,-0.03559902200489,0,0.03,0
"OTUD3",0.301366231647635,0.88,-0.578633768352365,0.24,0.76,0.7
"PLA2G2A",0.0542740619902121,5.31,-5.25572593800979,0.08,0.16,0.22
"PLA2G5",0.00905383360522023,2.02,-2.01094616639478,0.14,0,0.03
"PLA2G2D",0,0.220421081227927,-0.220421081227927,0,0,1.31
"PLA2G2F",0,0,0,0,0,0
"PLA2G2C",0.0459597946028625,0.09,-0.0440402053971375,0.04,0.25,0.25
"UBXN10",0.156157543974653,0.58,-0.423842456025347,0.25,0.24,1.33
"VWA5B1",0,0.07,-0.07,0,0,0
"CAMK2N1",0.199265905383361,2.61,-2.41073409461664,0.21,0.65,0.31
"MUL1",0.925346655791191,1.75,-0.824653344208809,0.62,1.01,1.38
"FAM43B",0,0.06,-0.06,0,0,1.17
"CDA",0.737700207582213,3.65,-2.91229979241779,1.39,0.87,2.83
"PINK1",0.508176007866273,3,-2.49182399213373,0.57,0.81,1.26
"DDOST",3.25303425774878,4,-0.746965742251223,0.17,0.63,1.89
"KIF17",0.0143275428821152,1.94,-1.92567245711788,0.03,0.14,0.62
"SH2D5",0,0,0,0,0,0
"HP1BP3",2.87573001631321,4.02,-1.14426998368679,0.59,1.08,3.37
"EIF4G3",1.01270676281001,2.2,-1.18729323718999,0.44,1.22,1.37
"ECE1",0.69151101141925,4.34,-3.64848898858075,0.93,1.49,2.59
"NBPF3",0.0595432300163132,0.39,-0.330456769983687,0.09,0.22,0.14
"ALPL",0.146390701468189,0.92,-0.773609298531811,0.57,0.21,0.25
"RAP1GAP",0.0318495106035889,0.15,-0.118150489396411,0.06,1.4,0.57
"USP48",1.61243474714519,2.69505569138821,-1.08262094424302,0.5,0.83,2.72
"LDLRAD2",0.00529567699836868,0.05,-0.0447043230016313,0.06,0,0.53
"HSPG2",0.559169671146072,6.75,-6.19083032885393,0.85,0.6,1.76
"CELA3B",0,0.07,-0.07,0,0,0
"CDC42",5.14841035725992,5.32,-0.171589642740085,0.55,0.989999999999999,3.94
"WNT4",0,0.03,-0.03,0,0,0
"ZBTB40",0.403599102773246,1.04,-0.636400897226754,0.45,0.68,0.62
"C1QA",2.34965257292691,3.47,-1.12034742707309,1.43,0.97,6.13
"C1QC",1.31673385775156,2.67,-1.35326614224844,0.87,1.14,6.05
"C1QB",2.35645908445318,3.39,-1.03354091554682,1.07,0.62,5.88
"EPHB2",0.0513121380967989,0.7,-0.648687861903201,0.13,0.1,1
"C1orf234",0,0.02,-0.02,0.01,0,0
"KDM1A",0.688497145187602,1.4,-0.711502854812398,0.69,0.44,1.38
"LUZP1",1.30775897226754,4.22,-2.91224102773246,0.52,0.99,2.79
"HTR1D",0.00368270799347471,0.335392556370551,-0.331709848377077,0.06,0.03,0.01
"HNRNPR",3.05069535073409,3.97,-0.919304649265905,0.81,0.98,2.36
"ZNF436",0.243927406199021,1.1,-0.856072593800979,0.47,0.43,1.61
"TCEA3",0.263597063621533,1.87,-1.60640293637847,0.56,0.75,2.05
"ASAP3",0.0284380097879282,1.03,-1.00156199021207,0.11,0.21,0.07
"E2F2",0.0573144371941272,0.19,-0.132685562805873,0.83,0.21,0.59
"ID3",3.25773858075041,7.19,-3.93226141924959,1.48,1.49,3.71
"MDS2",0.0104119086460033,0.738071176310785,-0.727659267664782,0.29,0.89,0.03
"RPL11",8.24741027732463,9.45277913610432,-1.20536885877969,0.889999999999999,0.960000000000001,1.29
"PITHD1",2.34251019575856,3.16,-0.817489804241436,0.19,1.63,2.66
"LYPLA2",1.40458401305057,2.03,-0.625415986949429,0.52,2.24,1.9
"GALE",1.03851196329072,1.86,-0.821488036709276,0.18,1.34,1.73
"HMGCL",1.90184339314845,2.33,-0.42815660685155,0.28,1.61,2.09
"FUCA1",1.41060690483994,2.07,-0.659393095160057,0.53,1.6,4.34
"CNR2",0.0108911092985318,1.82804400977995,-1.81715290048142,0.28,0.09,1.09
"PNRC2",2.54976141924959,3.56,-1.01023858075041,0.620000000000001,2.26,2.97
"SRSF10",2.73835032626427,3.9,-1.16164967373573,0.79,0.27,4.25
"MYOM3",0,0.18,-0.18,0,0.05,0
"IL22RA1",0,0.07,-0.07,0.04,0,0
"IFNLR1",0.24481647634584,0.93131757674545,-0.686501100399609,0.53,0.1,0.47
"GRHL3",0,0.134884542243955,-0.134884542243955,0.16,0,0
"STPG1",0.237816068515498,0.79,-0.552183931484503,0.41,0.63,0.45
"NIPAL3",0.64540986949429,2,-1.35459013050571,0.25,1.17,1.2
"RCAN3",0.866990212071778,1.65936973648465,-0.792379524412873,1.41,0.28,1
"NCMAP",0,0.157913610431948,-0.157913610431948,0.02,0.09,0
"SRRM1",3.86039967373573,4.54,-0.679600326264274,0.48,0.22,2.26
"CLIC4",0.407054517644488,3.92,-3.51294548235551,0.4,0.71,2.86
"RUNX3",1.30233075040783,4.59,-3.28766924959217,0.28,1.45,1.67
"SYF2",3.82472675367047,4.91,-1.08527324632953,0.22,0.11,1.51
"RSRP1",3.3523266721044,5.36,-2.0076733278956,0.29,0.86,4.59
"RHD",0,0,0,0.09,0,0
"TMEM50A",4.59605831973899,5.03,-0.433941680261012,0.390000000000001,1.36,1.61
"RHCE",0.0333977930733093,0.05,-0.0166022069266907,0.15,0.03,0.8
"TMEM57",1.00245106035889,2.06,-1.05754893964111,0.29,0.71,2.55
"LDLRAP1",0.587948613376835,2.33,-1.74205138662316,1.7,2.66,0.73
"MAN1C1",0.414822593800979,1.43,-1.01517740619902,0.26,0.65,0.63
"MTFR1L",1.41986745513866,2.11,-0.690132544861338,0.21,1.93,1.8
"AUNIP",0.0208727569331158,0.24,-0.219127243066884,0.25,0.25,0.56
"PAQR7",0.24239648202775,0.83,-0.587603517972249,0.25,0.5,1.63
"STMN1",3.8710277324633,4.86,-0.988972267536705,2.69,0.67,3.07
"PAFAH2",0.646021615008157,2.12,-1.47397838499184,0.56,1.03,1.31
"EXTL1",0,0.24,-0.24,0,0.03,0
"SLC30A2",0,0.16,-0.16,0,0,0.85
"TRIM63",0,0,0,0,0,1.33
"PDIK1L",0.476407014681892,0.81,-0.333592985318108,0.34,0.96,0.65
"FAM110D",0.0078731647634584,1.32,-1.31212683523654,0.04,0.03,0.09
"RP11-96L14.7",0.00603588907014682,0.0381472425971204,-0.0321113535269735,0.12,0,0.02
"ZNF593",2.37832896318147,3.05,-0.671671036818529,0.2,0.64,2.94
"CNKSR1",0.107883360522023,0.656215702254822,-0.548332341732799,0.2,0.48,0.24
"CATSPER4",0,0.00657973376799783,-0.00657973376799783,0,0.15,0
"CEP85",0.42978792822186,0.62,-0.19021207177814,0.65,0.45,0.77
"SH3BGRL3",7.59417786518081,7.65,-0.0558221348191861,0.56,1.34,1.96
"UBXN11",1.86587949306238,1.76330345014942,0.102576042912968,0.63,1.69,2.26
"CD52",6.62901101141925,7.52,-0.89098898858075,0.350000000000001,1.49,2.84
"AIM1L",0.117765089722675,0.492197772344472,-0.374432682621796,0.14,0.44,0.33
"ZNF683",0.293739804241436,2.5,-2.20626019575856,1.22,1.83,0.52
"LIN28A",0,0.06,-0.06,0,0.15,0
"DHDDS",1.33671084828711,1.69,-0.353289151712887,0.77,0.92,4.38
"HMGN2",2.55142128874388,2.35,0.201421288743882,0.84,0.66,3.53
"RPS6KA1",2.09169861337684,3.35,-1.25830138662316,0.81,0.53,2.44
"ARID1A",2.01435562805873,2.65,-0.635644371941273,0.15,0.3,0.89
"PIGV",0.545685567573473,1.42,-0.874314432426527,0.18,1.01,0.86
"ZDHHC18",0.599553425774878,1.42,-0.820446574225122,0.22,0.84,1.02
"SFN",1.45638050570962,2.91748981255094,-1.46110930684131,1.97,1.24,2.19
"GPN2",1.26704323001631,1.81,-0.542956769983687,0.4,1.63,1.36
"GPATCH3",0.852585644371941,1.22905460472698,-0.376468960355035,0.56,1.22,1.49
"NUDC",3.41336256117455,4.08,-0.666637438825449,0.65,0.41,1.57
"NR0B2",0,0.05,-0.05,0.03,0,0
"KDF1",0.110405791190865,0.43,-0.319594208809135,0.5,0.31,0.49
"TRNP1",0.0304037520391517,0.42,-0.389596247960848,0.17,0.02,0.05
"FAM46B",0.0110481239804241,0.22,-0.208951876019576,0.1,0.02,0.03
"SLC9A1",0.850590516770458,1.19,-0.339409483229542,0.41,1.82,2.46
"WDTC1",0.899378058727569,1.8,-0.900621941272431,0.32,1.33,1.08
"TMEM222",1.14969616639478,2.28,-1.13030383360522,0.3,2.29,2.12
"SYTL1",0.435089722675367,4.21,-3.77491027732463,0.77,1.32,1.35
"MAP3K6",0.503024061990212,3.44,-2.93697593800979,0.32,1.74,2.07
"FCN3",0.244726865508576,6.85,-6.60527313449142,0.3,0.41,0.46
"CD164L2",0.00368270799347471,0.0620592230372181,-0.0583765150437434,0.06,0.02,0.01
"GPR3",0,0.57,-0.57,0,0,0.01
"WASF2",3.09097267536705,4.61,-1.51902732463295,0.29,1.02,2.73
"AHDC1",0.231984094616639,1.71,-1.47801590538336,0.43,0.89,0.35
"FGR",0.524915874576642,3.68,-3.15508412542336,1.53,0.36,2.96
"IFI6",5.4970796460177,5.25,0.247079646017699,2.41,3.81,4.04
"FAM76A",0.80760603588907,1.65,-0.84239396411093,0.93,1.87,1.08
"STX12",1.95828635420081,3.75,-1.79171364579919,0.53,1.37,3.34
"PPP1R8",1.56141924959217,2.5,-0.93858075040783,0.29,0.75,2.17
"THEMIS2",1.54561673768163,3.9,-2.35438326231837,0.64,0.81,2.54
"RPA2",2.2376264274062,3.96,-1.7223735725938,0.29,0.64,1.67
"SMPDL3B",0.179630913539967,1.28326270035317,-1.1036317868132,0.51,0.23,0.8
"XKR8",0.714104812398042,1.72,-1.00589518760196,0.29,0.7,1.39
"EYA3",0.881105220228385,1.54,-0.658894779771615,0.59,1.26,1.27
"PTAFR",0.0987397574565716,1.36122249388753,-1.26248273643096,0.12,0.36,3.31
"DNAJC8",3.60186582381729,4.16,-0.558134176182708,0.48,1.1,2.62
"ATPIF1",4.3386235725938,4.82,-0.481376427406199,0.350000000000001,1.53,3.3
"SESN2",0.908354637823664,1.74,-0.831645362176335,0.27,1,1.17
"MED18",0.522096247960848,0.545789187720728,-0.0236929397598797,0.64,2.21,1.17
"PHACTR4",1.4503160685155,2.49,-1.0396839314845,0.28,1.29,1.61
"RCC1",0.642077895595432,1.34,-0.697922104404568,0.43,1.3,1.43
"TRNAU1AP",1.76707585644372,2.41,-0.642924143556281,0.38,0.44,1.14
"TAF12",2.86527732463295,3.18,-0.314722675367047,0.11,3.2,3.25
"RAB42",0.185892057248989,0.43,-0.244107942751011,0.29,0.4,2.76
"GMEB1",0.963068923327896,1.75,-0.786931076672104,0.38,1.65,1.73
"YTHDF2",2.36850530179445,3.48,-1.11149469820555,0.44,0.47,3.05
"OPRD1",0.00224243417458757,0,0.00224243417458757,0.01,0,0.02
"EPB41",0.8853955954323,3.14,-2.2546044045677,0.93,0.72,1.18
"TMEM200B",0.0322686550857642,1.01,-0.977731344914236,0.06,0.11,0.3
"SRSF4",2.79033442088091,4.1,-1.30966557911909,0.69,1.84,2.44
"MECR",0.919420408609199,1.62,-0.700579591390801,0.49,1.01,1.06
"PTPRU",0.0600945045340326,0.73,-0.669905495465967,0.18,0.1,0.34
"MATN1",0.00603588907014682,0.29,-0.283964110929853,0.03,0,0.02
"LAPTM5",6.31294875996941,6.55623200217332,-0.243283242203913,0.25,0.27,2.35
