"","gene","target_score.x","target_score.y","target_score.x.1","target_score.y.1","target_score.x.2","target_score.y.2","target_score.x.3","target_score.y.3","target_score.x.4","target_score.y.4","score_avg"
"3213","CLEC18B",-0.03,-0.11,NA,-0.36,-0.35,-0.23,-0.04,-0.24,NA,-0.72,-0.26
"3214","CLEC18C",NA,-0.01,NA,-0.4,-0.19,-0.25,NA,-0.02,NA,-0.2,-0.178333333333333
"3215","CLEC19A",NA,-0.11,NA,-0.45,-0.65,-0.35,0,NA,NA,-0.22,-0.296666666666667
"3216","CLEC1A",-2.77,-3.6,-0.3,-3.26,-2.22,-3.65,-1.23,-2.18,-0.09,-2.5,-2.18
"3217","CLEC1B",NA,0,NA,-0.24,NA,-0.83,-2.3,-1.44,NA,-2.27,-1.18
"3218","CLEC2A",0,NA,NA,-0.44,NA,-0.18,NA,-0.1,NA,NA,-0.18
"3219","CLEC2B",-2.34,-3.61,-1.8,-2.23,-1.43,-1.48,-2.35,-1.69,-1.89,-3.04,-2.186
"3220","CLEC2D",0.0800000000000001,-0.96,-0.87,-0.669999999999999,-0.3,-0.4,-0.26,-1.04,0.0899999999999999,-0.0199999999999996,-0.435
"3221","CLEC2L",-0.07,0,NA,-0.22,-0.31,-0.17,-0.06,-0.14,NA,NA,-0.138571428571429
"3222","CLEC3A",NA,-0.05,-0.68,-0.02,NA,-0.66,NA,0,NA,-0.85,-0.376666666666667
"3223","CLEC3B",-0.9,-3.5,-0.38,-2.04,-1.04,-1.16,-0.7,-3.58,-0.21,-1.99,-1.55
"3224","CLEC4A",-3.05,-4.57,-2.77,-3.81,-3.45,-4.94,-3.42,-3.6,-4.17,-3.29,-3.707
"3225","CLEC4C",-1.02,-3.68,-1.6,-1.89,-0.32,-0.44,-0.78,-0.86,NA,NA,-1.32375
"3226","CLEC4D",-1.6,-1.15,-1.46,-1.7,-1.75,-3.11,-1.8,-1.68,-3.33,-1.66,-1.924
"3227","CLEC4E",-3.94,-2.73,-6.14,-2.47,-4.05,-5.55,-4.35,-4.84,-5.4,-3.71,-4.318
"3228","CLEC4F",-0.02,-1.84,-0.55,-1.82,-1.16,-1.87,-1.04,-2.98,-0.06,-2.18,-1.352
"3229","CLEC4G",-1.56,-2.91,NA,-4.4,-1.64,-0.89,-0.76,-0.7,-0.28,NA,-1.6425
"3230","CLEC4M",-0.76,-1.01,NA,-3.53,-0.23,-1.37,-0.16,-0.22,NA,NA,-1.04
"3231","CLEC5A",-3.26,-4.42,-4.1,-3.38,-4.99,-4.55,-2.37,-2.56,-2.78,-4.08,-3.649
"3232","CLEC6A",-0.42,-0.5,NA,-1.04,-0.37,-0.22,-0.32,-1.79,NA,NA,-0.665714285714286
"3233","CLEC7A",-5.05,-4.66,-2.8,-3.22,-3.87,-4.66,-4.35,-5.59,-3.86,-4.64,-4.27
"3234","CLEC9A",-5.79,-2.11,-0.65,-1.37,-6.1,-5.16,-5.91,-6.77,-0.88,NA,-3.86
"3235","CLECL1",-4.55,-3.28,-3.29,-4.06,-3.12,-3,-4.28,-4.34,-4.11,-3.16,-3.719
"3236","CLGN",-1.12,-1.18,-0.28,-0.18,-0.59,-0.57,-1.17,-2.18,NA,NA,-0.90875
"3237","CLHC1",-0.39,-0.69,-1.46,-0.32,-1.92,-1,-0.15,-0.56,-0.46,-2.32,-0.927
"3238","CLIC1",-0.48,-0.84,-0.15,-0.21,-0.0499999999999998,-1.26,-0.26,-0.630000000000001,-0.62,-0.0300000000000002,-0.453
"3239","CLIC2",-5.03,-5.91,-2.09,-3.25,-6.1,-4.56,-4.71,-5.99,-3.1,-3.55,-4.429
"3240","CLIC3",-5.18,-5.94,-2.76,-4.81,-4.21,-2.03,-5.54,-6.3,-4.46,-3.62,-4.485
"3241","CLIC4",-3.39,-5.03,-2.9,-2.87,NA,-5.01,-3.55,-4.91,-3.17,-4.39,-3.91333333333333
"3242","CLIC5",-1.48,-2.17,-0.99,-1.61,-1.76,-1.36,-1.72,-1.31,-1.06,-2.94,-1.64
"3243","CLIC6",-0.51,-0.1,-2.53,-0.4,-0.19,-0.96,-0.07,-0.32,NA,NA,-0.635
"3244","CLINT1",-0.64,-2.41,-0.38,-1.27,-1.81,-0.72,-1.64,-2.63,-1.59,-1.15,-1.424
"3245","CLIP1",-0.02,-0.65,-0.82,-0.41,-0.260000000000001,-0.17,-0.64,-1.01,-0.25,-0.82,-0.505
"3246","CLIP2",-0.98,-0.84,-1.44,-0.75,-1.83,-1.33,-0.88,-1.33,-0.52,-0.89,-1.079
"3247","CLIP3",-0.19,-0.59,-0.88,-0.68,-0.51,-1.88,-0.26,-1.23,NA,-1.84,-0.895555555555556
"3248","CLIP4",-1.5,-1.7,-0.71,-1.87,-1.42,-1.37,-1.86,-1.84,-0.88,-1.97,-1.512
"3249","CLK1",-0.42,-0.8,-0.46,-0.27,-0.64,-0.67,-0.16,-0.38,-0.25,-0.77,-0.482
"3250","CLK2",-1.59,-1.76,-0.42,-0.68,-0.34,-0.64,-0.63,-1.97,-0.85,-1.91,-1.079
"3251","CLK3",-0.46,-0.2,-0.44,-0.51,-0.57,-0.61,-0.43,-0.95,-0.63,-0.76,-0.556
"3252","CLK4",-0.47,-1.19,-1.39,-0.9,-0.42,-0.96,-0.55,-1.09,-0.3,-1.16,-0.843
"3253","CLLU1",-0.76,-0.2,NA,-0.24,-0.63,-1.58,-1.12,-0.85,NA,-0.46,-0.73
"3254","CLLU1OS",-0.39,NA,NA,-0.31,-0.41,-1.3,-0.67,-1.78,NA,NA,-0.81
"3255","CLMN",-1.95,-0.87,-3.03,-1.23,-2.36,-2.1,-2.18,-1.51,-1.84,-2.88,-1.995
"3256","CLMP",-0.36,-0.03,-0.54,-0.78,-0.88,-1.34,-0.71,-0.66,-0.84,-0.43,-0.657
"3257","CLN5",-0.75,-1.81,-1.27,-2.07,-1.61,-0.32,-1.4,-1.54,-1.32,-1.52,-1.361
"3258","CLN6",-0.74,-1.44,-0.53,-1.21,-1.7,-0.64,-1.46,-1.4,-1,-1.21,-1.133
"3259","CLN8",-2.23,-1.83,-3.05,-1.29,-1.15,-1.12,-1.92,-2.1,-0.77,-1.73,-1.719
"3260","CLNK",-1.97,-3.44,-2.07,-0.24,-2.24,-0.97,-2.3,-4,-1.18,-1.2,-1.961
"3261","CLNS1A",-0.68,-1.11,-0.76,-0.3,-1.21,-0.56,-0.7,-1.06,-0.0800000000000001,-1.38,-0.784
"3262","CLOCK",-0.85,-1.02,-1.54,-0.72,-3,-1.27,-0.95,-1.55,-0.96,-1.58,-1.344
"3263","CLP1",-1.5,-1.13,-1.25,-1.15,-0.48,-1.33,-0.81,-3.12,-0.52,-0.97,-1.226
"3264","CLPB",-0.95,-0.83,-0.31,-1.21,NA,-0.64,-1.08,-0.87,-0.6,-0.64,-0.792222222222222
"3265","CLPP",-0.17,-0.54,-0.65,-0.4,NA,-0.24,-0.24,-0.93,-0.11,-1.04,-0.48
"3266","CLPS",NA,-0.01,NA,-0.41,NA,-0.03,-4.88,-2.1,NA,NA,-1.486
"3267","CLPSL1",-0.23,NA,NA,-0.07,-0.15,-0.25,NA,-1.19,NA,NA,-0.378
"3268","CLPSL2",-0.41,NA,NA,NA,-0.11,-0.21,-0.4,NA,NA,NA,-0.2825
"3269","CLPTM1",-1.76,-0.91,-0.98,-0.46,-1.13,-2.65,-1.07,-2.18,-0.78,-1.14,-1.306
"3270","CLPTM1L",-1.77,-2.27,-1.35,-0.68,-3.08,0.02,-2.87,-2.88,-2.59,-2.27,-1.974
"3271","CLPX",-0.25,-0.63,-0.64,-0.41,NA,-0.15,-0.28,-0.79,-0.25,-1.47,-0.541111111111111
"3272","CLRN1",NA,-0.09,NA,-0.44,-0.36,-0.23,NA,-0.05,NA,NA,-0.234
"3273","CLRN2",NA,NA,NA,-0.32,NA,-0.22,NA,-4.23,NA,NA,-1.59
"3274","CLRN3",-0.05,-0.46,NA,-0.69,-0.08,-0.09,-0.12,-0.75,-0.07,-0.11,-0.268888888888889
"3275","CLSPN",-0.81,-1.21,-0.55,-0.32,-1.55,-1.5,-1.67,-3.25,-1.29,-0.51,-1.266
"3276","CLSTN1",-1.36,-0.36,-0.65,-0.58,-0.47,-0.46,0.22,-0.79,-1.06,-1.33,-0.684
"3277","CLSTN2",-0.13,-0.04,-1.37,-0.15,-0.98,-0.87,-0.09,-0.17,NA,-0.14,-0.437777777777778
"3278","CLSTN3",-1.13,-0.29,-1.22,-1.12,-1.66,-0.75,-1.08,-0.6,-0.83,-1.06,-0.974
"3279","CLTA",-0.97,-3.25,-1.52,-0.69,-1,-1.18,-0.68,-2.76,-0.66,-1.28,-1.399
"3280","CLTB",-0.17,-1.07,-0.35,-0.82,-1.07,-0.41,-0.28,-2.26,-0.28,-1.48,-0.819
"3281","CLTC",-1.46,-1.1,-1.07,-0.57,-1.24,-4.65,-0.39,-0.66,-1.21,-1.14,-1.349
"3282","CLTCL1",-0.49,-1.21,NA,-0.68,-0.12,-0.74,-0.14,-1.11,-0.07,-1.18,-0.637777777777778
"3283","CLU",-7.2,-7.91,-5.49,-5.51,-1.21,-5.89,-6.46,-3.25,-7.4,-7.59,-5.791
"3284","CLUAP1",-0.73,-0.57,-0.68,-1.12,-0.62,-1.37,-1.12,-1.4,-1.16,-0.96,-0.973
"3285","CLUH",-0.58,-0.72,-1.3,-0.45,-1.86,-0.19,-0.63,-0.89,-1.83,-1.66,-1.011
"3286","CLUL1",-0.13,-0.03,NA,-0.07,-0.5,-0.12,-0.11,-0.03,NA,NA,-0.141428571428571
"3287","CLVS1",-0.22,-0.14,NA,-0.48,-0.14,-0.21,-0.1,-1.93,NA,-0.69,-0.48875
"3288","CLVS2",NA,NA,NA,-0.59,-0.19,-0.49,NA,-0.01,NA,NA,-0.32
"3289","CLYBL",-1,-0.16,-1.25,-0.47,NA,-0.5,-0.81,-0.68,-1.13,-0.99,-0.776666666666667
"3290","CMA1",-3.65,-6.9,-5.77,-2.3,-0.13,-4.06,-3.61,-5.69,-1.42,-5.38,-3.891
"3291","CMAS",-0.15,-0.54,-0.56,-0.29,-1.43,-0.31,-0.64,-1.55,-0.34,-0.11,-0.592
"3292","CMBL",-0.87,-0.16,-1.17,-0.95,-0.36,-1.11,-0.29,-6.36,-0.06,-1.82,-1.315
"3293","CMC1",-3.59,-2.15,-1.69,-1.76,NA,-3.13,-4.26,-1.9,-4.04,-3.09,-2.84555555555556
"3294","CMC2",-0.0100000000000002,-1.06,-0.98,0.13,NA,-2.2,-0.39,-0.5,-0.32,-0.66,-0.665555555555556
"3295","CMC4",-0.36,-1.38,NA,-1.02,NA,-0.29,-0.26,-1.82,-0.24,-0.98,-0.79375
"3296","CMIP",-2.03,-1.41,-1.58,-0.64,-1.5,-1.71,-1.1,-0.89,-1.37,-1.82,-1.405
"3297","CMKLR1",-2.53,-1.88,-2.76,-2.69,-4.05,-2.97,-2.01,-2.37,-1.21,-3.08,-2.555
"3298","CMPK1",-0.74,-0.48,-1.04,-0.76,-0.66,-3.4,-0.470000000000001,-0.799999999999999,-0.6,-0.63,-0.958
"3299","CMPK2",-1.13,-1.37,-1.61,-1.15,NA,-2.05,-0.85,-1.1,-1.04,-1.87,-1.35222222222222
"3300","CMSS1",-0.57,-0.89,-1.06,-1.67,-1.45,-0.54,-0.85,-1.26,-0.65,-2.01,-1.095
"3301","CMTM1",-0.24,-0.58,NA,-0.57,-0.68,-0.68,-0.08,-1.23,NA,NA,-0.58
"3302","CMTM2",-0.3,-1.62,-5.79,-0.69,-0.2,-5.16,-0.11,-0.02,-1.25,NA,-1.68222222222222
"3303","CMTM3",0.21,-1.31,-0.59,-0.6,-0.53,-1.19,-0.0900000000000003,-0.73,-0.15,-0.45,-0.543
"3304","CMTM4",-0.59,-0.73,-0.71,-0.46,-0.33,-1.02,-0.56,-2.34,-0.29,-0.31,-0.734
"3305","CMTM5",-0.27,0,NA,-0.37,-0.19,0.03,NA,NA,NA,NA,-0.16
"3306","CMTM6",-1.02,-1.25,-2.11,-0.629999999999999,-1.33,-2.66,-1.45,-1.99,-1.73,-2.05,-1.622
"3307","CMTM7",-1.59,-1.3,-0.57,-0.48,-0.94,-1.05,-0.48,-1.07,-0.71,-1.6,-0.979
"3308","CMTM8",-3.01,-1.16,-2.46,-1.45,-1.75,-2.7,-2.1,-2.09,-1.85,-2.53,-2.11
"3309","CMTR1",-0.93,NA,-0.61,NA,-0.29,-1.61,-0.29,-2.05,-0.17,-1.69,-0.955
"3310","CMTR2",-0.9,NA,-0.66,NA,-0.91,-1.12,-0.15,-1.31,-0.58,-1.87,-0.9375
"3311","CMYA5",-0.45,-0.02,-0.47,-0.11,-0.58,-0.6,-0.72,-2.5,NA,-0.21,-0.628888888888889
"3312","CNBD1",NA,-0.03,NA,-0.05,-0.06,-0.2,-0.04,-0.31,NA,NA,-0.115
"3313","CNBD2",-0.45,0.02,-0.34,-1.2,-0.22,-0.32,-0.37,-0.61,-0.25,-1.1,-0.484
"3314","CNBP",-1.12,-0.62,-0.58,-0.46,-0.46,-0.46,-0.48,-0.62,-0.31,-0.59,-0.57
"3315","CNDP1",-0.15,-0.01,NA,-0.43,-0.36,-1.07,-0.05,-0.35,NA,-1.15,-0.44625
"3316","CNDP2",-1.46,-1.47,-1.61,-0.75,-1.42,-4.14,-1.12,-1.13,-0.98,-2.17,-1.625
"3317","CNEP1R1",-3.57,-0.99,-1.08,-0.44,-0.39,-0.53,-0.2,-0.76,-0.32,-0.48,-0.876
"3318","CNFN",-1.1,-0.27,-1.55,-2.13,-3.5,-1.38,-3.02,-3.92,-2.11,NA,-2.10888888888889
"3319","CNGA1",-0.07,-1.03,NA,-0.59,-0.05,-0.27,-0.33,-0.33,NA,-0.62,-0.41125
"3320","CNGA2",NA,NA,NA,-0.05,NA,-0.29,NA,-0.06,NA,NA,-0.133333333333333
"3321","CNGA3",NA,0,NA,-0.08,-0.05,-0.59,NA,-0.01,NA,NA,-0.146
"3322","CNGA4",NA,-0.74,NA,-0.05,-0.04,-0.24,-0.09,-0.99,NA,NA,-0.358333333333333
"3323","CNGB1",-0.05,-0.02,NA,-0.19,-0.17,-1.09,NA,-0.53,NA,-0.48,-0.361428571428571
"3324","CNGB3",-0.04,0,NA,-0.08,-0.19,-0.34,NA,-1.24,NA,-0.5,-0.341428571428571
"3325","CNIH1",-3.93,NA,-1.08,NA,-1.57,-1.07,-0.97,-1.56,-1.22,-1.29,-1.58625
"3326","CNIH2",-0.28,-0.4,-0.92,-0.14,-1.56,-1.35,-0.39,-0.28,-0.08,NA,-0.6
"3327","CNIH3",-0.29,-0.43,-0.71,-0.8,-0.1,-0.55,-1.23,-0.26,-0.24,-2.29,-0.69
"3328","CNIH4",-1.77,-1.79,-0.94,-1.2,-1.35,-0.9,-0.85,-1.53,-1.18,-0.92,-1.243
"3329","CNKSR1",-1.73,-1.16,-1.36,-0.25,-2.41,-0.98,-1.7,-3.39,-1.35,-2.46,-1.679
"3330","CNKSR2",-0.6,-0.95,-1.95,-1.25,-1.85,-1.43,-0.65,-0.82,-0.51,-2.93,-1.294
"3331","CNKSR3",-3.48,-2.51,-1.33,-1.42,-1.14,-0.83,-1.65,-0.5,-0.08,-2.04,-1.498
"3332","CNN1",-0.38,-0.03,-0.27,0,-0.03,-0.36,-0.15,-0.12,NA,-0.97,-0.256666666666667
"3333","CNN2",-1.49,-0.8,-0.8,-0.760000000000001,-1.05,-3.82,-1.02,-0.640000000000001,-0.74,-1.7,-1.282
"3334","CNN3",-4.87,-6.92,-2.33,-5.49,-0.56,-5.69,-2.56,-3.65,-0.72,-4.82,-3.761
"3335","CNNM1",-0.22,-0.08,NA,-0.49,-0.3,-0.17,-0.04,-0.18,NA,NA,-0.211428571428571
"3336","CNNM2",-0.51,-1.06,-1.74,-0.68,-0.84,-0.86,-0.43,-0.29,-0.46,-0.68,-0.755
"3337","CNNM3",-0.71,-1.15,-1.08,-0.75,-1.06,-0.8,-0.8,-2.05,-0.73,-1.18,-1.031
"3338","CNNM4",-0.28,-2.15,-1.32,-1.24,-0.61,-1.04,-0.36,-2.74,-0.76,-1.65,-1.215
"3339","CNOT1",-0.17,-0.89,-1.16,-0.13,-0.23,-0.44,-0.65,-0.89,-0.55,-1.14,-0.625
"3340","CNOT10",-2.04,-1.92,-0.55,-0.51,-0.1,-0.69,-0.79,-1.14,-0.77,-1.09,-0.96
"3341","CNOT11",-0.45,-1.35,-0.42,-0.85,-0.64,-1.45,-0.3,-2.78,-0.68,-1.42,-1.034
"3342","CNOT2",-0.41,-1.18,-0.63,-0.74,-0.529999999999999,-0.79,-0.97,-0.77,-0.37,-1.23,-0.762
"3343","CNOT3",-0.33,-2,-0.44,-0.59,-0.5,-0.72,-1.07,-1.24,-0.46,-0.99,-0.834
"3344","CNOT4",-0.3,-1.39,-0.64,-1.01,-0.81,-0.55,-0.41,-1,-0.56,-1.08,-0.775
"3345","CNOT6",-0.95,-0.42,-0.22,-0.01,-0.34,-4.58,-0.0699999999999998,-1.98,-0.72,-0.82,-1.011
"3346","CNOT6L",-0.98,-0.91,-0.83,-1.21,-1.22,-0.32,-1,-0.69,-0.0900000000000003,-0.66,-0.791
"3347","CNOT7",-0.56,-0.659999999999999,-0.52,-1.27,-0.72,-0.04,-0.92,-0.75,-0.62,-1.1,-0.716
"3348","CNOT8",-0.53,-1.92,-1.35,-0.879999999999999,-2.08,-0.34,-0.46,-0.31,-1.11,-2.28,-1.126
"3349","CNP",-0.38,-1.49,-0.17,-1.15,-0.67,-0.45,-0.72,-2.54,-0.23,-0.17,-0.797
"3350","CNPPD1",-1.12,-1.97,-0.51,-0.88,-0.88,-1.1,-0.47,-2.24,-0.94,-1.29,-1.14
"3351","CNPY1",NA,NA,NA,-0.03,NA,-0.13,NA,-0.13,NA,NA,-0.0966666666666667
"3352","CNPY2",-1.52,-1.15,-0.7,-1.13,-1.84,-0.32,-1.68,-1.48,-1.85,-1.51,-1.318
"3353","CNPY3",-1.52,-1.83,-1.97,-1.53,-1.33,-1.69,-1.5,-1.35,-1.59,-2.35,-1.666
"3354","CNPY4",-0.5,-1.24,-0.68,-0.8,-0.5,-1.48,-0.3,-1.54,-0.2,-0.93,-0.817
"3355","CNR1",-1.23,-1.17,-2.24,-1.72,-2.28,-2.23,-0.86,-1.53,-0.63,-1.24,-1.513
"3356","CNR2",-3.14,-1.72,-4.69,-4.77,-3.77,-1.83,-2.82,-3.69,-2.1,-1.68,-3.021
"3357","CNRIP1",-4.78,-4.77,-4.72,-3.65,-2.61,-4.63,-3.33,-3.57,-4.11,-4.55,-4.072
"3358","CNST",-1.21,-2.52,-1.45,-1.63,-0.85,-0.68,-0.8,-0.84,-0.95,-1.69,-1.262
"3359","CNTD1",-0.41,-0.23,-0.15,-0.71,-0.09,-0.57,-0.1,-0.58,-0.23,-1.33,-0.44
"3360","CNTD2",-0.07,-0.59,NA,-0.4,-1.48,-0.25,NA,-0.84,NA,-0.17,-0.542857142857143
"3361","CNTF",0,-0.13,NA,-0.41,-0.09,-0.25,-0.63,-0.84,NA,NA,-0.335714285714286
"3362","CNTFR",0,0,-0.57,-0.04,-0.11,-0.1,-0.29,-0.06,NA,NA,-0.14625
"3363","CNTLN",-2.03,-1.33,-2.01,-1.04,-3.49,-1.7,-2.25,-4.69,-2.09,-1.47,-2.21
"3364","CNTN1",-0.5,-0.01,-0.15,-0.33,-0.09,-1.02,NA,-0.07,NA,NA,-0.31
"3365","CNTN2",-0.16,-0.5,NA,-0.52,-0.19,-0.61,-0.44,-0.09,NA,NA,-0.358571428571429
"3366","CNTN3",-0.14,0,-0.06,-0.05,-0.18,-0.22,-0.02,-0.11,NA,-0.04,-0.0911111111111111
"3367","CNTN4",-0.75,-0.18,-0.24,-0.11,-0.04,-1.57,-0.62,-0.08,NA,-1.1,-0.521111111111111
"3368","CNTN5",-0.06,-0.18,NA,-0.19,-0.14,-0.57,NA,-0.12,NA,-0.06,-0.188571428571429
"3369","CNTN6",0,0,NA,-0.06,-0.29,-0.5,NA,-0.16,NA,NA,-0.168333333333333
"3370","CNTNAP1",-0.33,-0.07,-1.04,-1.07,-0.78,-0.97,-0.88,-1.14,NA,-0.85,-0.792222222222222
"3371","CNTNAP2",-0.42,-0.66,-3,-1.1,-2.5,-0.36,-2.49,-1.48,-0.63,-1.92,-1.456
"3372","CNTNAP3",-0.66,-1.83,-2.21,-1.25,-0.18,-0.69,-0.47,-0.4,NA,-0.77,-0.94
"3373","CNTNAP3B",-1.97,-2.31,-0.85,-1.65,-0.48,-1.07,-0.27,-0.36,NA,-1.98,-1.21555555555556
"3374","CNTNAP4",-0.05,0,NA,-0.03,-0.18,-0.24,NA,-0.48,NA,NA,-0.163333333333333
"3375","CNTNAP5",NA,-0.02,NA,-0.07,0,-0.49,NA,-0.04,NA,NA,-0.124
"3376","CNTRL",-0.83,-1.66,-1.01,-1.09,-1.69,-0.43,-0.56,-0.64,-0.41,-1.07,-0.939
"3377","CNTROB",-0.44,-1.36,-1.6,-0.54,-0.47,-0.51,-0.83,-1.39,-0.56,-1.07,-0.877
"3378","COA1",-1.52,-1.11,-0.67,-0.84,NA,-1.06,-1.57,-1.72,-0.79,-1.14,-1.15777777777778
"3379","COA3",-0.7,-1.01,-0.57,-1.05,NA,-0.57,-0.75,-0.96,-0.63,-0.94,-0.797777777777778
"3380","COA4",0.0299999999999998,-2.68,-0.53,-0.53,NA,-0.98,-0.42,-0.51,-0.39,-0.86,-0.763333333333333
"3381","COA5",-0.64,-1.67,-0.0699999999999998,-0.62,NA,-1.28,-0.28,-0.88,-0.19,-0.97,-0.733333333333333
"3382","COA6",-0.58,-1.01,-0.37,-0.68,NA,-0.86,-0.04,-0.91,0.04,-0.23,-0.515555555555556
"3383","COA7",-0.52,NA,-1.09,NA,NA,-1,-0.61,-1.27,-0.5,-1.99,-0.997142857142857
"3384","COASY",-0.33,-2.72,-1.94,-0.7,NA,-0.7,-0.33,-1.58,-0.52,-0.56,-1.04222222222222
"3385","COBL",-0.42,-0.03,-1.39,-0.15,-0.28,-2.11,-0.61,-0.25,NA,-0.51,-0.638888888888889
"3386","COBLL1",-3.01,-3.61,-4.09,-3.15,-4.29,-3.35,-3.67,-2.82,-3.7,-4.65,-3.634
"3387","COCH",-2.36,-2.36,-2.41,-2.85,-2.69,-1.48,-2.5,-3.2,-2.49,-3.44,-2.578
"3388","COG1",-0.12,-2.35,-0.25,-0.67,-1.08,-1.11,-0.47,-0.93,-1.57,-0.61,-0.916
"3389","COG2",-0.18,-1.15,-1.02,-0.92,-1.18,-0.45,-0.76,-0.68,-0.52,-1.01,-0.787
"3390","COG3",-0.49,-2.42,-0.57,-0.93,-1.67,-0.61,-0.71,-1.07,-1.07,-1.39,-1.093
"3391","COG4",-0.0399999999999996,-1.22,-0.79,-0.74,-0.91,-1.03,-0.0700000000000003,-1.17,-0.12,-0.32,-0.641
"3392","COG5",-0.49,-1.09,-0.53,-0.54,-0.3,-1.69,-0.74,-0.72,-0.47,-1.77,-0.834
"3393","COG6",-0.7,-0.98,-1.26,-0.39,-0.96,-1.04,-0.85,-1.75,-0.47,-1.02,-0.942
"3394","COG7",-0.44,-0.52,-1.33,-0.27,-1.46,-0.89,-0.74,-0.66,-0.36,-0.71,-0.738
"3395","COIL",-0.5,-3.14,-0.58,-1.28,-1.7,-0.41,-0.54,-1.39,-1.5,-0.67,-1.171
"3396","COL10A1",-0.11,-0.25,-0.31,-1.39,-0.07,-0.33,-0.11,-2.77,NA,-1.21,-0.727777777777778
"3397","COL11A1",-0.15,-0.02,NA,-0.08,-0.38,-0.53,NA,-0.58,NA,-0.53,-0.324285714285714
"3398","COL11A2",-0.9,-0.21,NA,-0.64,-0.6,-0.25,-0.35,-0.1,NA,-1.14,-0.52375
"3399","COL12A1",-0.89,-0.42,-1.15,-1.45,-0.15,-1.2,-0.45,-2.21,NA,-1.29,-1.02333333333333
"3400","COL13A1",-1.35,-3.65,-3.39,-1.36,-0.55,-1.83,-0.95,-1.19,NA,-2.99,-1.91777777777778
"3401","COL14A1",-0.3,-0.21,-1.46,-0.04,-0.2,-1.11,-0.42,-0.27,NA,-1.2,-0.578888888888889
"3402","COL15A1",-4.4,-5.01,-1.64,-4.93,-0.41,-4.09,-1.17,-0.56,NA,-4.61,-2.98
"3403","COL16A1",-0.66,-0.81,-1.05,-0.33,-0.13,-1.02,-0.06,-0.18,NA,-0.84,-0.564444444444444
"3404","COL17A1",-0.21,-1.12,-0.58,-1.31,0,-0.95,-0.03,-1.85,NA,-1.85,-0.877777777777778
"3405","COL18A1",-4.28,-2.63,-2.47,-2.76,-1.39,-4.34,-0.78,-0.6,-1.09,-2.53,-2.287
"3406","COL19A1",-2.77,-1.83,-2.48,-2.14,-2.75,-0.99,-2.06,-3.9,-2.29,-2.42,-2.363
"3407","COL1A1",-2.59,-3.35,-5.36,-0.22,-0.97,-3.1,-1.71,-0.75,-0.27,-2.15,-2.047
"3408","COL1A2",-2.8,-4.39,-2.43,-0.62,-1.44,-3.74,-2,-0.48,-0.02,-1.38,-1.93
"3409","COL20A1",NA,0,NA,-0.02,-0.38,-2.07,NA,-0.27,NA,NA,-0.548
"3410","COL21A1",-1.81,-1.05,-0.55,-0.32,-0.12,-1.3,-0.24,-0.75,NA,-0.91,-0.783333333333333
"3411","COL22A1",-0.18,-0.01,-0.74,-0.44,-0.17,-0.97,-0.03,-0.22,NA,NA,-0.345
"3412","COL23A1",-0.58,-1.08,-0.23,-1.29,-1.66,-1.55,-0.84,-4.04,NA,NA,-1.40875
"3413","COL24A1",-0.05,-0.73,-0.92,-0.34,-0.84,-0.71,-0.58,-1.67,-1.12,-0.66,-0.762
"3414","COL25A1",-0.24,-0.21,NA,-0.13,-0.34,-0.52,-0.05,-0.38,NA,-0.34,-0.27625
"3415","COL26A1",-0.02,-0.06,NA,-0.47,-0.08,-0.9,-0.02,-0.37,NA,NA,-0.274285714285714
"3416","COL27A1",-1.59,-0.23,-1.1,-0.39,-0.38,-1.21,-0.3,-1.64,NA,-3.57,-1.15666666666667
"3417","COL28A1",NA,-0.05,NA,-0.1,-0.15,-1.31,-0.04,-0.46,NA,-0.81,-0.417142857142857
"3418","COL2A1",0,0,-0.09,-0.04,-0.23,-1.23,NA,-0.35,NA,-0.19,-0.26625
"3419","COL3A1",-2.7,-4.43,-2.57,-0.33,-0.4,-3.21,-1.86,-1.43,-0.03,-0.52,-1.748
"3420","COL4A1",-6.37,-5.45,-1.32,-5.23,-0.09,-6.87,-3.09,-1.28,NA,-6.13,-3.98111111111111
"3421","COL4A2",-5.77,-5.42,-1.16,-5.28,-1.03,-7.16,-2.61,-2.66,-0.01,-5.75,-3.685
"3422","COL4A3",-1.07,-0.93,-2.48,-2.55,-2,-2.37,-1.58,-2.48,-1.15,-2.52,-1.913
"3423","COL4A3BP",-0.42,-0.35,-0.96,-0.79,-1,-0.45,-1.05,-0.25,-0.43,-1.36,-0.706
"3424","COL4A4",-1.77,-0.69,-1.27,-1.35,-2.31,-1.75,-2.71,-2.71,-1.65,-1.16,-1.737
"3425","COL4A5",-0.29,-0.65,-1.41,-0.78,-0.46,-0.51,-0.25,-0.03,NA,-0.81,-0.576666666666667
"3426","COL4A6",-0.05,-0.01,NA,-0.02,-0.23,-0.4,NA,-0.23,NA,NA,-0.156666666666667
"3427","COL5A1",-0.88,-0.45,-1.19,-0.16,-0.43,-1.14,-0.32,-1.9,NA,-0.4,-0.763333333333333
"3428","COL5A2",-1.09,-1.16,-1.15,-1.25,-0.84,-2.25,-0.6,-0.61,NA,-0.66,-1.06777777777778
"3429","COL5A3",-0.4,-0.18,-2.05,-0.01,-2.78,-0.97,-0.62,-0.36,-0.44,-0.12,-0.793
